Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3
Blazed 	2.6(0:0:0) 	176.5 	0 	910 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.312138 	0.026433 	0.0193331 	0.0192979
Blazed 	2.6(0:0:0) 	176.5 	0 	915 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.311626 	0.0262423 	0.0191435 	0.0191785
Blazed 	2.6(0:0:0) 	176.5 	0 	920 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.311138 	0.0260521 	0.0189552 	0.0190569
Blazed 	2.6(0:0:0) 	176.5 	0 	925 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.310635 	0.0258625 	0.0187685 	0.0189343
Blazed 	2.6(0:0:0) 	176.5 	0 	930 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.310163 	0.0256735 	0.0185829 	0.0188101
Blazed 	2.6(0:0:0) 	176.5 	0 	935 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.309655 	0.0254837 	0.0183981 	0.0186857
Blazed 	2.6(0:0:0) 	176.5 	0 	940 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.309172 	0.0252936 	0.018215 	0.01856
Blazed 	2.6(0:0:0) 	176.5 	0 	945 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.308645 	0.0251007 	0.0180321 	0.0184306
Blazed 	2.6(0:0:0) 	176.5 	0 	950 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.308118 	0.024907 	0.0178495 	0.0182974
Blazed 	2.6(0:0:0) 	176.5 	0 	955 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.307563 	0.0247112 	0.0176662 	0.0181617
Blazed 	2.6(0:0:0) 	176.5 	0 	960 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.306992 	0.0245132 	0.0174837 	0.0180242
Blazed 	2.6(0:0:0) 	176.5 	0 	965 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.306417 	0.0243129 	0.0173036 	0.0178839
Blazed 	2.6(0:0:0) 	176.5 	0 	970 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.305805 	0.0241085 	0.0171272 	0.0177376
Blazed 	2.6(0:0:0) 	176.5 	0 	975 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.305197 	0.0238987 	0.0169569 	0.0175771
Blazed 	2.6(0:0:0) 	176.5 	0 	980 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.304473 	0.0236762 	0.0167913 	0.0173772
Blazed 	2.6(0:0:0) 	176.5 	0 	985 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.268192 	0.0142284 	0.0105349 	0.0117179
Blazed 	2.6(0:0:0) 	176.5 	0 	990 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.267184 	0.014053 	0.0103767 	0.0115647
Blazed 	2.6(0:0:0) 	176.5 	0 	995 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.302743 	0.0231319 	0.0161928 	0.0171148
Blazed 	2.6(0:0:0) 	176.5 	0 	1000 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.301144 	0.0228595 	0.0158542 	0.016687
