Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Rectangular 	1.2(0:0:0) 		176 		 0 		435 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.417503 	0.0843329 	0.00836734 	0.00531515
Rectangular 	1.2(0:0:0) 		176 		 0 		440 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.415024 	0.0847639 	0.00848878 	0.00538136
Rectangular 	1.2(0:0:0) 		176 		 0 		445 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.412593 	0.0851851 	0.0086104 	0.00544805
Rectangular 	1.2(0:0:0) 		176 		 0 		450 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.410198 	0.085591 	0.00872981 	0.00551402
Rectangular 	1.2(0:0:0) 		176 		 0 		455 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.407826 	0.0859765 	0.00884544 	0.00557829
Rectangular 	1.2(0:0:0) 		176 		 0 		460 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.40543 	0.0863293 	0.0089547 	0.00563911
Rectangular 	1.2(0:0:0) 		176 		 0 		465 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.403029 	0.0866542 	0.0090582 	0.00569678
Rectangular 	1.2(0:0:0) 		176 		 0 		470 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.40061 	0.0869478 	0.00915498 	0.00575061
Rectangular 	1.2(0:0:0) 		176 		 0 		475 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.398111 	0.0871944 	0.0092424 	0.0057988
Rectangular 	1.2(0:0:0) 		176 		 0 		480 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.395611 	0.0874156 	0.00932425 	0.00584364
Rectangular 	1.2(0:0:0) 		176 		 0 		485 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.393095 	0.0876079 	0.00939978 	0.00588457
Rectangular 	1.2(0:0:0) 		176 		 0 		490 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.390519 	0.0877589 	0.0094665 	0.00592005
Rectangular 	1.2(0:0:0) 		176 		 0 		495 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.387934 	0.0878825 	0.00952651 	0.00595127
Rectangular 	1.2(0:0:0) 		176 		 0 		500 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.385298 	0.0879669 	0.00957742 	0.00597673
Rectangular 	1.2(0:0:0) 		176 		 0 		505 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.382578 	0.0880011 	0.00961607 	0.0059945
Rectangular 	1.2(0:0:0) 		176 		 0 		510 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.379804 	0.0879934 	0.00964362 	0.00600517
Rectangular 	1.2(0:0:0) 		176 		 0 		515 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.376632 	0.0878348 	0.00963486 	0.00599381
Rectangular 	1.2(0:0:0) 		176 		 0 		520 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.373276 	0.0875985 	0.00960985 	0.00597261
Rectangular 	1.2(0:0:0) 		176 		 0 		525 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.369667 	0.087264 	0.00956535 	0.00593997
Rectangular 	1.2(0:0:0) 		176 		 0 		530 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.365795 	0.0868453 	0.0095152 	0.00590541
Rectangular 	1.2(0:0:0) 		176 		 0 		535 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.361872 	0.0863945 	0.00946299 	0.0058703
