Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		545 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0213499 	0.000356182 	9.64643E-05
Blazed 	1.2(0:0:0) 		176 		 0 		550 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0369387 	0.000802013 	0.000163274
Blazed 	1.2(0:0:0) 		176 		 0 		555 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0468768 	0.00126523 	0.000210238
Blazed 	1.2(0:0:0) 		176 		 0 		560 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0506042 	0.00146534 	0.000229127
Blazed 	1.2(0:0:0) 		176 		 0 		565 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0529758 	0.00159387 	0.000241655
Blazed 	1.2(0:0:0) 		176 		 0 		570 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.055031 	0.00170458 	0.000252522
Blazed 	1.2(0:0:0) 		176 		 0 		575 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0567432 	0.00179437 	0.000261454
Blazed 	1.2(0:0:0) 		176 		 0 		580 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0584033 	0.00188036 	0.000269813
Blazed 	1.2(0:0:0) 		176 		 0 		585 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0593313 	0.00191736 	0.000273549
Blazed 	1.2(0:0:0) 		176 		 0 		590 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0602708 	0.00195624 	0.000276818
Blazed 	1.2(0:0:0) 		176 		 0 		595 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0611959 	0.00199906 	0.00027972
Blazed 	1.2(0:0:0) 		176 		 0 		600 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0621422 	0.00204564 	0.000282351
Blazed 	1.2(0:0:0) 		176 		 0 		605 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0631119 	0.00209691 	0.00028488
Blazed 	1.2(0:0:0) 		176 		 0 		610 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0638916 	0.00214082 	0.000286237
Blazed 	1.2(0:0:0) 		176 		 0 		615 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0643741 	0.00217227 	0.000286188
Blazed 	1.2(0:0:0) 		176 		 0 		620 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0648547 	0.0022085 	0.00028692
Blazed 	1.2(0:0:0) 		176 		 0 		625 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0653338 	0.00224863 	0.000288867
Blazed 	1.2(0:0:0) 		176 		 0 		630 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0658615 	0.00229385 	0.000292609
Blazed 	1.2(0:0:0) 		176 		 0 		635 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0664494 	0.00234355 	0.000298442
Blazed 	1.2(0:0:0) 		176 		 0 		640 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0669972 	0.00238819 	0.000305862
