Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Sinusoidal 	1.2(0:0:0) 		176 		 0 		535 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.301696 	0.104173 	0.0548945 	0.0224696
Sinusoidal 	1.2(0:0:0) 		176 		 0 		540 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.297817 	0.103636 	0.0551297 	0.0228016
Sinusoidal 	1.2(0:0:0) 		176 		 0 		545 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.29416 	0.103208 	0.055441 	0.023174
Sinusoidal 	1.2(0:0:0) 		176 		 0 		550 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.290923 	0.103038 	0.0559377 	0.0236419
Sinusoidal 	1.2(0:0:0) 		176 		 0 		555 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.288172 	0.103103 	0.056571 	0.0241713
Sinusoidal 	1.2(0:0:0) 		176 		 0 		560 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.285797 	0.10335 	0.0573126 	0.0247523
Sinusoidal 	1.2(0:0:0) 		176 		 0 		565 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.283544 	0.103606 	0.0580408 	0.0253257
Sinusoidal 	1.2(0:0:0) 		176 		 0 		570 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.28136 	0.103863 	0.0587662 	0.0259016
Sinusoidal 	1.2(0:0:0) 		176 		 0 		575 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.279082 	0.103982 	0.059368 	0.0264133
Sinusoidal 	1.2(0:0:0) 		176 		 0 		580 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.276836 	0.104084 	0.0599541 	0.0269209
Sinusoidal 	1.2(0:0:0) 		176 		 0 		585 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.274518 	0.104098 	0.0604737 	0.0273988
Sinusoidal 	1.2(0:0:0) 		176 		 0 		590 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.272222 	0.104089 	0.0609723 	0.0278691
Sinusoidal 	1.2(0:0:0) 		176 		 0 		595 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.269882 	0.104013 	0.0614186 	0.0283161
Sinusoidal 	1.2(0:0:0) 		176 		 0 		600 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.267561 	0.103915 	0.0618436 	0.028755
Sinusoidal 	1.2(0:0:0) 		176 		 0 		605 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.265225 	0.103774 	0.0622346 	0.0291801
Sinusoidal 	1.2(0:0:0) 		176 		 0 		610 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.26291 	0.103613 	0.0626071 	0.0295983
Sinusoidal 	1.2(0:0:0) 		176 		 0 		615 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.260602 	0.103426 	0.0629567 	0.0300079
Sinusoidal 	1.2(0:0:0) 		176 		 0 		620 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.258328 	0.103231 	0.0632979 	0.0304159
Sinusoidal 	1.2(0:0:0) 		176 		 0 		625 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.256086 	0.10303 	0.0636312 	0.0308231
Sinusoidal 	1.2(0:0:0) 		176 		 0 		630 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.253898 	0.102833 	0.0639605 	0.0312295
Sinusoidal 	1.2(0:0:0) 		176 		 0 		635 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.251768 	0.102644 	0.064288 	0.0316362
Sinusoidal 	1.2(0:0:0) 		176 		 0 		640 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.24969 	0.102455 	0.0646046 	0.0320369
Sinusoidal 	1.2(0:0:0) 		176 		 0 		645 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.247665 	0.102267 	0.0649102 	0.0324313
Sinusoidal 	1.2(0:0:0) 		176 		 0 		650 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.245659 	0.102054 	0.0651833 	0.0328072
