Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		625 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0656167 	0.0021844 	0.000290925
Blazed 	1.2(0:0:0) 		176 		 0 		630 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0661815 	0.0022007 	0.000286773
Blazed 	1.2(0:0:0) 		176 		 0 		635 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0667843 	0.00222717 	0.000284555
Blazed 	1.2(0:0:0) 		176 		 0 		640 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0673234 	0.00225628 	0.000284206
Blazed 	1.2(0:0:0) 		176 		 0 		645 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0677676 	0.00228741 	0.000286441
Blazed 	1.2(0:0:0) 		176 		 0 		650 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.068178 	0.00232673 	0.000292498
Blazed 	1.2(0:0:0) 		176 		 0 		655 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0685307 	0.00237437 	0.00030279
Blazed 	1.2(0:0:0) 		176 		 0 		660 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0688465 	0.00242544 	0.00031698
Blazed 	1.2(0:0:0) 		176 		 0 		665 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0690741 	0.00247518 	0.000334604
Blazed 	1.2(0:0:0) 		176 		 0 		670 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0692714 	0.00252396 	0.000354954
Blazed 	1.2(0:0:0) 		176 		 0 		675 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0693007 	0.00256718 	0.00037633
Blazed 	1.2(0:0:0) 		176 		 0 		680 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0693212 	0.00260133 	0.000397188
Blazed 	1.2(0:0:0) 		176 		 0 		685 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0694074 	0.00262833 	0.000416065
Blazed 	1.2(0:0:0) 		176 		 0 		690 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0694975 	0.00264137 	0.000431297
Blazed 	1.2(0:0:0) 		176 		 0 		695 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0696076 	0.00264348 	0.000441563
Blazed 	1.2(0:0:0) 		176 		 0 		700 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0697252 	0.00263176 	0.000445982
Blazed 	1.2(0:0:0) 		176 		 0 		705 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0698201 	0.00260702 	0.000443956
Blazed 	1.2(0:0:0) 		176 		 0 		710 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0698878 	0.00257182 	0.000435666
Blazed 	1.2(0:0:0) 		176 		 0 		715 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699458 	0.00252905 	0.000422016
Blazed 	1.2(0:0:0) 		176 		 0 		720 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699931 	0.00248415 	0.000404402
Blazed 	1.2(0:0:0) 		176 		 0 		725 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0700135 	0.00244059 	0.000384376
Blazed 	1.2(0:0:0) 		176 		 0 		730 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699486 	0.00240738 	0.000364146
Blazed 	1.2(0:0:0) 		176 		 0 		735 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0698326 	0.00238627 	0.000345843
Blazed 	1.2(0:0:0) 		176 		 0 		740 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0696277 	0.0023836 	0.000331695
Blazed 	1.2(0:0:0) 		176 		 0 		745 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.069335 	0.00240154 	0.000323452
Blazed 	1.2(0:0:0) 		176 		 0 		750 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0689909 	0.00244068 	0.000322342
Blazed 	1.2(0:0:0) 		176 		 0 		755 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0686514 	0.00250258 	0.000329107
Blazed 	1.2(0:0:0) 		176 		 0 		760 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0682406 	0.00258176 	0.000343225
