Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		755 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.167052 	0.122204 	0.108524 	0.0321889
Blazed 	1.2(0:0:0) 		176 		 0 		760 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.165722 	0.121422 	0.108553 	0.0328655
Blazed 	1.2(0:0:0) 		176 		 0 		765 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.164498 	0.120728 	0.108667 	0.033581
Blazed 	1.2(0:0:0) 		176 		 0 		770 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.163329 	0.120063 	0.108786 	0.034303
Blazed 	1.2(0:0:0) 		176 		 0 		775 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.16226 	0.119446 	0.10892 	0.035034
Blazed 	1.2(0:0:0) 		176 		 0 		780 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.161363 	0.118926 	0.109107 	0.0357914
Blazed 	1.2(0:0:0) 		176 		 0 		785 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.160509 	0.118417 	0.109276 	0.0365444
Blazed 	1.2(0:0:0) 		176 		 0 		790 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.159706 	0.117887 	0.109352 	0.0372553
Blazed 	1.2(0:0:0) 		176 		 0 		795 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.158952 	0.117364 	0.109393 	0.0379506
Blazed 	1.2(0:0:0) 		176 		 0 		800 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.158203 	0.116829 	0.109394 	0.0386271
Blazed 	1.2(0:0:0) 		176 		 0 		805 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.157393 	0.116243 	0.109319 	0.0392676
Blazed 	1.2(0:0:0) 		176 		 0 		810 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.156629 	0.115672 	0.109224 	0.0398959
Blazed 	1.2(0:0:0) 		176 		 0 		815 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.155827 	0.115074 	0.109088 	0.0405023
Blazed 	1.2(0:0:0) 		176 		 0 		820 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.155033 	0.114474 	0.108921 	0.0410906
Blazed 	1.2(0:0:0) 		176 		 0 		825 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.154275 	0.113885 	0.108734 	0.0416639
Blazed 	1.2(0:0:0) 		176 		 0 		830 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.153461 	0.11327 	0.108516 	0.0422188
