Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		600 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0620876 	0.00211183 	0.000307486
Blazed 	1.2(0:0:0) 		176 		 0 		605 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0631204 	0.00214814 	0.000309243
Blazed 	1.2(0:0:0) 		176 		 0 		610 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0639757 	0.00216885 	0.000307734
Blazed 	1.2(0:0:0) 		176 		 0 		615 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0645422 	0.00216859 	0.000302303
Blazed 	1.2(0:0:0) 		176 		 0 		620 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0651006 	0.00216966 	0.000295751
Blazed 	1.2(0:0:0) 		176 		 0 		625 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0656438 	0.00217434 	0.000288976
Blazed 	1.2(0:0:0) 		176 		 0 		630 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0662159 	0.00218741 	0.000283294
Blazed 	1.2(0:0:0) 		176 		 0 		635 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0668246 	0.00221138 	0.000279784
Blazed 	1.2(0:0:0) 		176 		 0 		640 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0673675 	0.00223904 	0.000278509
Blazed 	1.2(0:0:0) 		176 		 0 		645 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0678125 	0.00227019 	0.000280354
Blazed 	1.2(0:0:0) 		176 		 0 		650 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0682204 	0.00231119 	0.000286678
Blazed 	1.2(0:0:0) 		176 		 0 		655 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0685668 	0.00236217 	0.000297921
Blazed 	1.2(0:0:0) 		176 		 0 		660 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0688732 	0.00241799 	0.000313653
Blazed 	1.2(0:0:0) 		176 		 0 		665 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0690885 	0.00247361 	0.000333302
Blazed 	1.2(0:0:0) 		176 		 0 		670 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0692714 	0.00252899 	0.000356014
